year,month,national_arrivals,excluded,period
1991,6,17394,False,historical
1991,7,30645,False,historical
1991,8,28824,False,historical
1991,9,24762,False,historical
1991,10,25173,False,historical
1991,11,28272,False,historical
1991,12,40182,False,historical
1992,1,35730,False,historical
1992,2,38859,False,historical
1992,3,33399,False,historical
1992,4,28410,False,historical
1992,5,21024,False,historical
1992,6,23157,False,historical
1992,7,33771,False,historical
1992,8,40143,False,historical
1992,9,29838,False,historical
1992,10,32079,False,historical
1992,11,35967,False,historical
1992,12,41292,False,historical
1993,1,42726,False,historical
1993,2,40116,False,historical
1993,3,37953,False,historical
1993,4,29589,False,historical
1993,5,22368,False,historical
1993,6,20412,False,historical
1993,7,32904,False,historical
1993,8,32796,False,historical
1993,9,27495,False,historical
1993,10,30621,False,historical
1993,11,35103,False,historical
1993,12,40167,False,historical
1994,1,45402,False,historical
1994,2,41067,False,historical
1994,3,41277,False,historical
1994,4,28080,False,historical
1994,5,21777,False,historical
1994,6,21399,False,historical
1994,7,35370,False,historical
1994,8,32817,False,historical
1994,9,31062,False,historical
1994,10,33216,False,historical
1994,11,33306,False,historical
1994,12,42738,False,historical
1995,1,45987,False,historical
1995,2,42591,False,historical
1995,3,40074,False,historical
1995,4,33756,False,historical
1995,5,24672,False,historical
1995,6,22416,False,historical
1995,7,35994,False,historical
1995,8,35814,False,historical
1995,9,30828,False,historical
1995,10,30603,False,historical
1995,11,28365,False,historical
1995,12,32001,False,historical
1996,1,30957,False,historical
1996,2,29550,False,historical
1996,3,26442,False,historical
1996,4,20376,False,historical
1996,5,17655,False,historical
1996,6,19668,False,historical
1996,7,25380,False,historical
1996,8,24765,False,historical
1996,9,23211,False,historical
1996,10,23511,False,historical
1996,11,24921,False,historical
1996,12,35829,False,historical
1997,1,32652,False,historical
1997,2,35010,False,historical
1997,3,34098,False,historical
1997,4,26907,False,historical
1997,5,22407,False,historical
1997,6,23160,False,historical
1997,7,30867,False,historical
1997,8,32034,False,historical
1997,9,29793,False,historical
1997,10,28314,False,historical
1997,11,31995,False,historical
1997,12,38928,False,historical
1998,1,37224,False,historical
1998,2,35283,False,historical
1998,3,32256,False,historical
1998,4,25578,False,historical
1998,5,20394,False,historical
1998,6,22410,False,historical
1998,7,29529,False,historical
1998,8,31446,False,historical
1998,9,31653,False,historical
1998,10,31767,False,historical
1998,11,38421,False,historical
1998,12,45102,False,historical
1999,1,44379,False,historical
1999,2,41526,False,historical
1999,3,41022,False,historical
1999,4,34443,False,historical
1999,5,25212,False,historical
1999,6,26184,False,historical
1999,7,33288,False,historical
1999,8,39081,False,historical
1999,9,33915,False,historical
1999,10,35112,False,historical
1999,11,41952,False,historical
1999,12,40326,False,historical
2000,1,43311,False,historical
2000,2,43287,False,historical
2000,3,40110,False,historical
2000,4,33642,False,historical
2000,5,23404,False,historical
2000,6,21825,False,historical
2000,7,33267,False,historical
2000,8,34422,False,historical
2000,9,31035,False,historical
2000,10,26658,False,historical
2000,11,32469,False,historical
2000,12,36984,False,historical
2001,1,44187,False,historical
2001,2,46575,False,historical
2001,3,44290,False,historical
2001,4,36906,False,historical
2001,5,26924,False,historical
2001,6,28323,False,historical
2001,7,28566,False,historical
2001,8,15717,False,historical
2001,9,11758,False,historical
2001,10,12904,False,historical
2001,11,17344,False,historical
2001,12,23300,False,historical
2002,1,28296,False,historical
2002,2,31683,False,historical
2002,3,33084,False,historical
2002,4,27057,False,historical
2002,5,26661,False,historical
2002,6,26355,False,historical
2002,7,35742,False,historical
2002,8,35475,False,historical
2002,9,32982,False,historical
2002,10,36258,False,historical
2002,11,37395,False,historical
2002,12,42183,False,historical
2003,1,40647,False,historical
2003,2,39081,False,historical
2003,3,40818,False,historical
2003,4,33714,False,historical
2003,5,30048,False,historical
2003,6,31836,False,historical
2003,7,43743,False,historical
2003,8,42111,False,historical
2003,9,36054,False,historical
2003,10,49922,False,historical
2003,11,54946,False,historical
2003,12,57722,False,historical
2004,1,49950,False,historical
2004,2,43584,False,historical
2004,3,38418,False,historical
2004,4,30672,False,historical
2004,5,30162,False,historical
2004,6,32119,False,historical
2004,7,50525,False,historical
2004,8,48675,False,historical
2004,9,51525,False,historical
2004,10,59442,False,historical
2004,11,64971,False,historical
2004,12,66159,False,historical
2005,1,38187,False,historical
2005,2,36645,False,historical
2005,3,50418,False,historical
2005,4,42261,False,historical
2005,5,40878,False,historical
2005,6,45699,False,historical
2005,7,56745,False,historical
2005,8,51216,False,historical
2005,9,43536,False,historical
2005,10,44095,False,historical
2005,11,48457,False,historical
2005,12,51171,False,historical
2006,1,52103,False,historical
2006,2,52687,False,historical
2006,3,54746,False,historical
2006,4,49776,False,historical
2006,5,43825,False,historical
2006,6,44066,False,historical
2006,7,55354,False,historical
2006,8,52931,False,historical
2006,9,38485,False,historical
2006,10,38815,False,historical
2006,11,37591,False,historical
2006,12,39224,False,historical
2007,1,56553,False,historical
2007,2,43051,False,historical
2007,3,35031,False,historical
2007,4,33039,False,historical
2007,5,26307,False,historical
2007,6,30810,False,historical
2007,7,44142,False,historical
2007,8,44742,False,historical
2007,9,37104,False,historical
2007,10,37011,False,historical
2007,11,45102,False,historical
2007,12,61116,False,historical
2008,1,56916,False,historical
2008,2,40551,False,historical
2008,3,38049,False,historical
2008,4,29747,False,historical
2008,5,31140,False,historical
2008,6,27960,False,historical
2008,7,32982,False,historical
2008,8,30672,False,historical
2008,9,29529,False,historical
2008,10,35103,False,historical
2008,11,36901,False,historical
2008,12,48925,False,historical
2009,1,38468,False,historical
2009,2,34169,False,historical
2009,3,34065,False,historical
2009,4,26054,False,historical
2009,5,24739,False,historical
2009,6,30234,False,historical
2009,7,42223,False,historical
2009,8,41207,False,historical
2009,9,37983,False,historical
2009,10,37575,False,historical
2009,11,44311,False,historical
2009,12,56862,False,historical
2010,1,50757,False,clean_train
2010,2,57300,False,clean_train
2010,3,52352,False,clean_train
2010,4,38300,False,clean_train
2010,5,35213,False,clean_train
2010,6,44730,False,clean_train
2010,7,63339,False,clean_train
2010,8,55898,False,clean_train
2010,9,47339,False,clean_train
2010,10,52370,False,clean_train
2010,11,72251,False,clean_train
2010,12,84627,False,clean_train
2011,1,74197,False,clean_train
2011,2,65797,False,clean_train
2011,3,75130,False,clean_train
2011,4,63835,False,clean_train
2011,5,48943,False,clean_train
2011,6,53636,False,clean_train
2011,7,83786,False,clean_train
2011,8,72463,False,clean_train
2011,9,60219,False,clean_train
2011,10,69563,False,clean_train
2011,11,90889,False,clean_train
2011,12,97517,False,clean_train
2012,1,85874,False,clean_train
2012,2,83549,False,clean_train
2012,3,91102,False,clean_train
2012,4,69591,False,clean_train
2012,5,57506,False,clean_train
2012,6,65245,False,clean_train
2012,7,90338,False,clean_train
2012,8,79456,False,clean_train
2012,9,71111,False,clean_train
2012,10,80379,False,clean_train
2012,11,109202,False,clean_train
2012,12,122252,False,clean_train
2013,1,110543,False,clean_train
2013,2,113968,False,clean_train
2013,3,113208,False,clean_train
2013,4,80737,False,clean_train
2013,5,74838,False,clean_train
2013,6,90279,False,clean_train
2013,7,107016,False,clean_train
2013,8,123269,False,clean_train
2013,9,90339,False,clean_train
2013,10,107058,False,clean_train
2013,11,109420,False,clean_train
2013,12,153918,False,clean_train
2014,1,146575,False,clean_train
2014,2,141878,False,clean_train
2014,3,133048,False,clean_train
2014,4,112631,False,clean_train
2014,5,90046,False,clean_train
2014,6,103175,False,clean_train
2014,7,133971,False,clean_train
2014,8,140319,False,clean_train
2014,9,105535,False,clean_train
2014,10,121576,False,clean_train
2014,11,119727,False,clean_train
2014,12,178672,False,clean_train
2015,1,156246,False,clean_train
2015,2,165541,False,clean_train
2015,3,157051,False,clean_train
2015,4,122217,False,clean_train
2015,5,113529,False,clean_train
2015,6,115467,False,clean_train
2015,7,175804,False,clean_train
2015,8,166610,False,clean_train
2015,9,143374,False,clean_train
2015,10,132280,False,clean_train
2015,11,144147,False,clean_train
2015,12,206114,False,clean_train
2016,1,194280,False,clean_train
2016,2,197697,False,clean_train
2016,3,192841,False,clean_train
2016,4,136367,False,clean_train
2016,5,125044,False,clean_train
2016,6,118038,False,clean_train
2016,7,209351,False,clean_train
2016,8,186288,False,clean_train
2016,9,148499,False,clean_train
2016,10,150419,False,clean_train
2016,11,167217,False,clean_train
2016,12,224791,False,clean_train
2017,1,219360,False,clean_train
2017,2,197517,False,clean_train
2017,3,188076,False,clean_train
2017,4,160249,False,clean_train
2017,5,121891,False,clean_train
