destination,year,month,month_name,predicted_tourist_arrivals,predicted_foreign_visitors,predicted_local_visitors,confidence_lower,confidence_upper,estimated_revenue_lkr,estimated_foreign_revenue_lkr,estimated_local_revenue_lkr,national_arrivals,national_lower,national_upper,model_used,mape_pct,forecast_horizon_years,calibration_basis,data_source
Colombo,2028,5,May,38786,16273,22513,31028,46543,96255400,89501500,6753900,240788,115326,366250,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,5,May,48578,20382,28196,38862,58293,120559800,112101000,8458800,240788,115326,366250,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,5,May,26485,11112,15373,21188,31782,65727900,61116000,4611900,240788,115326,366250,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,5,May,23427,9829,13598,18741,28112,58138900,54059500,4079400,240788,115326,366250,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2028,6,June,96022,60170,35852,76817,115226,383801786,380328154,3473632,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Yala,2028,6,June,101258,64490,36768,81006,121509,429590380,424434006,5156374,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Horton Plains,2028,6,June,29186,5345,23841,23348,35023,42325653,38880117,3445535,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Polonnaruwa,2028,6,June,20502,11893,8609,16401,24602,91804017,90529432,1274584,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Anuradhapura,2028,6,June,27909,17680,10229,22327,33490,90221540,88316283,1905256,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Mirissa,2028,6,June,13443,11082,2361,10754,16131,24501217,24269876,231340,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Jaffna,2028,6,June,18236,1500,16736,14588,21883,2571045,1741632,829412,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Trincomalee,2028,6,June,9828,3014,6814,7862,11793,17336155,16408674,927480,246029,115939,376119,SARIMA,6.78,3,official_ticket_count,forecast
Kandy,2028,6,June,67302,27323,39979,53841,80762,162270200,150276500,11993700,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Dambulla,2028,6,June,42702,17336,25366,34161,51242,102957800,95348000,7609800,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Galle Fort,2028,6,June,91329,37078,54251,73063,109594,220204300,203929000,16275300,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Nuwara Eliya,2028,6,June,33065,13424,19641,26452,39678,79724300,73832000,5892300,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Unawatuna,2028,6,June,52187,21187,31000,41749,62624,125828500,116528500,9300000,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Adams Peak,2028,6,June,11021,4474,6547,8816,13225,26571100,24607000,1964100,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Bentota,2028,6,June,39140,15890,23250,31312,46968,94370000,87395000,6975000,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Arugam Bay,2028,6,June,24652,10008,14644,19721,29582,59437200,55044000,4393200,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Colombo,2028,6,June,40957,16628,24329,32765,49148,98752700,91454000,7298700,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,6,June,51296,20825,30471,41036,61555,123678800,114537500,9141300,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,6,June,27967,11354,16613,22373,33560,67430900,62447000,4983900,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,6,June,24738,10043,14695,19790,29685,59645000,55236500,4408500,246029,115939,376119,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2028,7,July,129210,75607,53603,103368,155052,483097278,477903786,5193492,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Yala,2028,7,July,136008,81035,54973,108806,163209,541032604,533323146,7709458,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Horton Plains,2028,7,July,42363,6717,35646,33890,50835,54011807,48860196,5151611,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Polonnaruwa,2028,7,July,27815,14944,12871,22252,33378,115659207,113753623,1905584,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Anuradhapura,2028,7,July,37510,22217,15293,30008,45012,113828280,110979800,2848479,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Mirissa,2028,7,July,17456,13926,3530,13964,20947,30844197,30498312,345884,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Jaffna,2028,7,July,26907,1885,25022,21525,32288,3428707,2188651,1240055,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Trincomalee,2028,7,July,13975,3787,10188,11180,16770,22003733,20617003,1386729,309150,174591,443709,SARIMA,6.78,3,official_ticket_count,forecast
Kandy,2028,7,July,94107,34333,59774,75285,112928,206763700,188831500,17932200,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Dambulla,2028,7,July,59709,21784,37925,47767,71650,131189500,119812000,11377500,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Galle Fort,2028,7,July,127702,46590,81112,102161,153242,280578600,256245000,24333600,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Nuwara Eliya,2028,7,July,46234,16868,29366,36987,55480,101583800,92774000,8809800,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Unawatuna,2028,7,July,72972,26623,46349,58377,87566,160331200,146426500,13904700,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Adams Peak,2028,7,July,15410,5622,9788,12328,18492,33857400,30921000,2936400,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Bentota,2028,7,July,54729,19967,34762,43783,65674,120247100,109818500,10428600,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Arugam Bay,2028,7,July,34471,12576,21895,27576,41365,75736500,69168000,6568500,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Colombo,2028,7,July,57269,20894,36375,45815,68722,125829500,114917000,10912500,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,7,July,71726,26168,45558,57380,86071,157591400,143924000,13667400,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,7,July,39106,14267,24839,31284,46927,85920200,78468500,7451700,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,7,July,34591,12620,21971,27672,41509,76001300,69410000,6591300,309150,174591,443709,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2028,8,August,124497,73865,50632,99597,149396,471798427,466892789,4905638,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Yala,2028,8,August,131094,79168,51926,104875,157312,528317831,521035686,7282144,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Horton Plains,2028,8,August,40232,6562,33670,32185,48278,52598746,47732709,4866037,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Polonnaruwa,2028,8,August,26758,14600,12158,21406,32109,112935120,111135097,1800023,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Anuradhapura,2028,8,August,36151,21705,14446,28920,43381,111112941,108422225,2690716,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Mirissa,2028,8,August,16940,13605,3335,13552,20328,30122091,29795314,326777,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Jaffna,2028,8,August,25477,1842,23635,20381,30572,3310042,2138725,1171317,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Trincomalee,2028,8,August,13323,3700,9623,10658,15987,21453187,20143362,1309825,302027,163142,440911,SARIMA,6.78,3,official_ticket_count,forecast
Kandy,2028,8,August,90003,33542,56461,72002,108003,201419300,184481000,16938300,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Dambulla,2028,8,August,57105,21282,35823,45684,68526,127797900,117051000,10746900,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Galle Fort,2028,8,August,122133,45517,76616,97706,146559,273328300,250343500,22984800,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Nuwara Eliya,2028,8,August,44218,16479,27739,35374,53061,98956200,90634500,8321700,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Unawatuna,2028,8,August,69790,26009,43781,55832,83748,156183800,143049500,13134300,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Adams Peak,2028,8,August,14739,5493,9246,11791,17686,32985300,30211500,2773800,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Bentota,2028,8,August,52342,19507,32835,41873,62810,117139000,107288500,9850500,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Arugam Bay,2028,8,August,32967,12286,20681,26373,39560,73777300,67573000,6204300,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Colombo,2028,8,August,54771,20412,34359,43816,65725,122573700,112266000,10307700,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,8,August,68598,25565,43033,54878,82317,153517400,140607500,12909900,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,8,August,37400,13938,23462,29920,44880,83697600,76659000,7038600,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,8,August,33082,12329,20753,26465,39698,74035400,67809500,6225900,302027,163142,440911,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2028,9,September,104315,64305,40010,83452,125178,410341541,406465049,3876492,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Yala,2028,9,September,109955,68922,41033,87964,131946,459357239,453602738,5754501,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Horton Plains,2028,9,September,32319,5713,26606,25855,38782,45402127,41556989,3845137,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Polonnaruwa,2028,9,September,22317,12710,9607,17853,26780,98170771,96748430,1422341,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Anuradhapura,2028,9,September,30311,18896,11415,24248,36373,96516687,94390526,2126161,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Mirissa,2028,9,September,14479,11844,2635,11583,17374,26196865,25938677,258188,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Jaffna,2028,9,September,20280,1603,18677,16224,24336,2786830,1861224,925605,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Trincomalee,2028,9,September,10825,3221,7604,8660,12990,18570624,17535613,1035011,262938,119859,406017,SARIMA,6.78,3,official_ticket_count,forecast
Kandy,2028,9,September,73817,29201,44616,59053,88580,173990300,160605500,13384800,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Dambulla,2028,9,September,46836,18528,28308,37468,56203,110396400,101904000,8492400,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Galle Fort,2028,9,September,100170,39626,60544,80136,120204,236106200,217943000,18163200,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Nuwara Eliya,2028,9,September,36265,14346,21919,29012,43518,85478700,78903000,6575700,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Unawatuna,2028,9,September,57239,22643,34596,45791,68686,134915300,124536500,10378800,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Adams Peak,2028,9,September,12088,4782,7306,9670,14505,28492800,26301000,2191800,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Bentota,2028,9,September,42929,16982,25947,34343,51514,101185100,93401000,7784100,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Arugam Bay,2028,9,September,27039,10696,16343,21631,32446,63730900,58828000,4902900,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Colombo,2028,9,September,44921,17770,27151,35936,53905,105880300,97735000,8145300,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,9,September,56263,22257,34006,45010,67515,132615300,122413500,10201800,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,9,September,30674,12134,18540,24539,36808,72299000,66737000,5562000,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,9,September,27133,10733,16400,21706,32559,63951500,59031500,4920000,262938,119859,406017,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2028,10,October,108465,66013,42452,86772,130158,421374228,417261134,4113093,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Yala,2028,10,October,114289,70752,43537,91431,137146,471752351,465646686,6105664,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Horton Plains,2028,10,October,34095,5865,28230,27276,40914,46742495,42662654,4079840,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Polonnaruwa,2028,10,October,23242,13048,10194,18593,27890,100830532,99321284,1509247,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Anuradhapura,2028,10,October,31509,19397,12112,25207,37810,99149138,96893153,2255985,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Mirissa,2028,10,October,14954,12158,2796,11963,17944,26900309,26626345,273963,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Jaffna,2028,10,October,21463,1646,19817,17170,25755,2893254,1911151,982102,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Trincomalee,2028,10,October,11375,3307,8068,9100,13650,19101978,18003810,1098167,269918,122764,417073,SARIMA,6.78,3,official_ticket_count,forecast
Kandy,2028,10,October,77315,29976,47339,61852,92778,179069700,164868000,14201700,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Dambulla,2028,10,October,49055,19019,30036,39244,58866,113615300,104604500,9010800,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Galle Fort,2028,10,October,104916,40678,64238,83932,125899,243000400,223729000,19271400,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Nuwara Eliya,2028,10,October,37984,14727,23257,30387,45580,87975600,80998500,6977100,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Unawatuna,2028,10,October,59951,23244,36707,47960,71941,138854100,127842000,11012100,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Adams Peak,2028,10,October,12661,4909,7752,10128,15193,29325100,26999500,2325600,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Bentota,2028,10,October,44963,17433,27530,35970,53955,104140500,95881500,8259000,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Arugam Bay,2028,10,October,28320,10980,17340,22656,33984,65592000,60390000,5202000,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Colombo,2028,10,October,47050,18242,28808,37640,56460,108973400,100331000,8642400,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,10,October,58928,22847,36081,47142,70713,136482800,125658500,10824300,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,10,October,32129,12457,19672,25703,38554,74415100,68513500,5901600,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,10,October,28418,11018,17400,22734,34101,65819000,60599000,5220000,269918,122764,417073,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2028,11,November,126526,77545,48981,101220,151831,494899353,490153677,4745675,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Yala,2028,11,November,133345,83112,50233,106676,160014,554037415,546992698,7044716,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Horton Plains,2028,11,November,39461,6889,32572,31568,47353,54818695,50111343,4707352,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Polonnaruwa,2028,11,November,27089,15327,11762,21671,32506,118410410,116669016,1741394,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Anuradhapura,2028,11,November,36760,22786,13974,29408,44112,116424908,113822106,2602801,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Mirissa,2028,11,November,17509,14283,3226,14007,21010,31596249,31280152,316097,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Jaffna,2028,11,November,24797,1933,22864,19837,29756,3377491,2244384,1133107,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Trincomalee,2028,11,November,13193,3884,9309,10554,15831,22412172,21145086,1267085,317074,165954,468193,SARIMA,6.78,3,official_ticket_count,forecast
Kandy,2028,11,November,89832,35213,54619,71865,107798,210057200,193671500,16385700,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Dambulla,2028,11,November,56997,22342,34655,45597,68396,133277500,122881000,10396500,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Galle Fort,2028,11,November,121902,47784,74118,97521,146282,285047400,262812000,22235400,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Nuwara Eliya,2028,11,November,44134,17300,26834,35307,52960,103200200,95150000,8050200,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Unawatuna,2028,11,November,69658,27305,42353,55726,83589,162883400,150177500,12705900,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Adams Peak,2028,11,November,14710,5766,8944,11768,17652,34396200,31713000,2683200,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Bentota,2028,11,November,52243,20479,31764,41794,62691,122163700,112634500,9529200,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Arugam Bay,2028,11,November,32906,12899,20007,26324,39487,76946600,70944500,6002100,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Colombo,2028,11,November,54668,21429,33239,43734,65601,127831200,117859500,9971700,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,11,November,68469,26839,41630,54775,82162,160103500,147614500,12489000,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,11,November,37330,14633,22697,29864,44796,87290600,80481500,6809100,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,11,November,33020,12943,20077,26416,39624,77209600,71186500,6023100,317074,165954,468193,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2028,12,December,158647,93436,65211,126917,190376,596917163,590598994,6318169,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Yala,2028,12,December,167020,100143,66877,133616,200424,668459280,659080395,9378884,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Horton Plains,2028,12,December,51666,8301,43365,41332,61999,66649558,60382386,6267172,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Polonnaruwa,2028,12,December,34127,18468,15659,27301,40952,142896641,140578286,2318355,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Anuradhapura,2028,12,December,46060,27455,18605,36848,55272,140610371,137144998,3465373,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Mirissa,2028,12,December,21504,17209,4295,17203,25804,38109013,37688170,420842,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Jaffna,2028,12,December,32771,2330,30441,26216,39325,4213949,2705336,1508613,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Trincomalee,2028,12,December,17075,4681,12394,13660,20490,27171073,25484075,1686997,382049,227066,537032,SARIMA,6.78,3,official_ticket_count,forecast
Kandy,2028,12,December,115148,42430,72718,92118,138177,255180400,233365000,21815400,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Dambulla,2028,12,December,73059,26921,46138,58447,87670,161906900,148065500,13841400,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Galle Fort,2028,12,December,156253,57576,98677,125002,187503,346271100,316668000,29603100,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Nuwara Eliya,2028,12,December,56570,20845,35725,45256,67884,125365000,114647500,10717500,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Unawatuna,2028,12,December,89287,32901,56386,71429,107144,197871300,180955500,16915800,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Adams Peak,2028,12,December,18856,6948,11908,15084,22627,41786400,38214000,3572400,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Bentota,2028,12,December,66965,24675,42290,53572,80358,148399500,135712500,12687000,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Arugam Bay,2028,12,December,42178,15542,26636,33742,50613,93471800,85481000,7990800,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Colombo,2028,12,December,70072,25820,44252,56057,84086,155285600,142010000,13275600,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Negombo,2028,12,December,87763,32339,55424,70210,105315,194491700,177864500,16627200,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Ella,2028,12,December,47850,17632,30218,38280,57420,106041400,96976000,9065400,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Pinnawala,2028,12,December,42325,15596,26729,33860,50790,93796700,85778000,8018700,382049,227066,537032,SARIMA,6.78,3,sltda_district_telecom,forecast
Sigiriya,2029,1,January,148981,93674,55307,111735,186226,597461956,592103366,5358590,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Yala,2029,1,January,157118,100398,56720,117838,196397,668713109,660758650,7954459,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Horton Plains,2029,1,January,45101,8322,36779,33825,56376,65850496,60535142,5315354,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Polonnaruwa,2029,1,January,31796,18515,13281,23847,39745,142902336,140936050,1966286,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Anuradhapura,2029,1,January,43304,27525,15779,32478,54130,140433668,137494667,2939001,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Mirissa,2029,1,January,20896,17253,3643,15672,26120,38141488,37784532,356956,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Jaffna,2029,1,January,28154,2336,25818,21115,35192,3991806,2712302,1279503,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Trincomalee,2029,1,January,15203,4692,10511,11402,19003,26974655,25543961,1430694,383021,221202,544841,SARIMA,6.78,4,official_ticket_count,forecast
Kandy,2029,1,January,104212,42538,61674,78159,130265,252461200,233959000,18502200,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Dambulla,2029,1,January,66120,26989,39131,49590,82650,160178800,148439500,11739300,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Galle Fort,2029,1,January,141414,57723,83691,106060,176767,342583800,317476500,25107300,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Nuwara Eliya,2029,1,January,51198,20898,30300,38398,63997,124029000,114939000,9090000,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Unawatuna,2029,1,January,80807,32984,47823,60605,101008,195758900,181412000,14346900,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Adams Peak,2029,1,January,17066,6966,10100,12799,21332,41343000,38313000,3030000,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Bentota,2029,1,January,60605,24738,35867,45453,75756,146819100,136059000,10760100,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Arugam Bay,2029,1,January,38172,15581,22591,28629,47715,92472800,85695500,6777300,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Colombo,2029,1,January,63418,25886,37532,47563,79272,153632600,142373000,11259600,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Negombo,2029,1,January,79428,32421,47007,59571,99285,192417600,178315500,14102100,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Ella,2029,1,January,43305,17676,25629,32478,54131,104906700,97218000,7688700,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Pinnawala,2029,1,January,38306,15636,22670,28729,47882,92799000,85998000,6801000,383021,221202,544841,SARIMA,6.78,4,sltda_district_telecom,forecast
Sigiriya,2029,2,February,146625,92093,54532,109968,183281,587393536,582110034,5283501,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Yala,2029,2,February,154630,98704,55926,115972,193287,657452879,649609771,7843107,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Horton Plains,2029,2,February,44445,8182,36263,33333,55556,64757548,59516767,5240781,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Polonnaruwa,2029,2,February,31298,18203,13095,23473,39122,140499856,138561108,1938748,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Anuradhapura,2029,2,February,42619,27061,15558,31964,53273,138074702,135176864,2897838,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Mirissa,2029,2,February,20553,16962,3591,15414,25691,37499095,37147234,351861,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Jaffna,2029,2,February,27752,2296,25456,20814,34690,3927422,2665859,1261563,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Trincomalee,2029,2,February,14977,4613,10364,11232,18721,26524559,25113873,1410685,376559,208856,544262,SARIMA,6.78,4,official_ticket_count,forecast
Kandy,2029,2,February,102630,41820,60810,76972,128287,248253000,230010000,18243000,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Dambulla,2029,2,February,65117,26534,38583,48837,81396,157511900,145937000,11574900,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Galle Fort,2029,2,February,139267,56749,82518,104450,174083,336874900,312119500,24755400,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Nuwara Eliya,2029,2,February,50421,20546,29875,37815,63026,121965500,113003000,8962500,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Unawatuna,2029,2,February,79581,32428,47153,59685,99476,192499900,178354000,14145900,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Adams Peak,2029,2,February,16806,6848,9958,12604,21007,40651400,37664000,2987400,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Bentota,2029,2,February,59685,24321,35364,44763,74606,144374700,133765500,10609200,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Arugam Bay,2029,2,February,37593,15319,22274,28194,46991,90936700,84254500,6682200,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Colombo,2029,2,February,62455,25449,37006,46841,78068,151071300,139969500,11101800,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Negombo,2029,2,February,78222,31874,46348,58666,97777,189211400,175307000,13904400,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Ella,2029,2,February,42647,17378,25269,31985,53308,103159700,95579000,7580700,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Pinnawala,2029,2,February,37724,15372,22352,28293,47155,91251600,84546000,6705600,376559,208856,544262,SARIMA,6.78,4,sltda_district_telecom,forecast
Sigiriya,2029,3,March,143557,90007,53550,107667,179446,574113008,568924650,5188357,368030,194536,541524,SARIMA,6.78,4,official_ticket_count,forecast
